x                      y        
-5000.0                  9.5329E-8                
-4898.9897               1.0751273E-7             
-4797.98                 1.2007591E-7             
-4696.9697               1.3303628E-7             
-4595.9595               1.4641252E-7             
-4494.9497               1.6022459E-7             
-4393.9395               1.7449395E-7             
-4292.929                1.8924338E-7             
-4191.919                2.0449731E-7             
-4090.9092               2.2028182E-7             
-3989.899                2.3662514E-7             
-3888.889                2.5355735E-7             
-3787.879                2.7111096E-7             
-3686.8687               2.8932104E-7             
-3585.8586               3.0822525E-7             
-3484.8484               3.3466895E-7             
-3383.8384               4.015584E-7              
-3282.8284               4.7191716E-7             
-3181.818                5.461157E-7              
-3080.808                6.245834E-7              
-2979.7979               7.07823E-7               
-2878.7878               7.964258E-7              
-2777.7778               8.910947E-7              
-2676.7678               1.0348317E-6             
-2575.7576               1.1514417E-6             
-2474.7476               1.3766874E-6             
-2373.7373               1.6145308E-6             
-2272.7273               1.8870941E-6             
-2171.7173               2.1596572E-6             
-2070.707                2.619951E-6              
-1969.6968               3.1760887E-6             
-1868.687                3.7322238E-6             
-1767.6768               4.302952E-6              
-1666.6665               5.6165945E-6             
-1565.6567               6.874827E-6              
-1464.6465               8.1330645E-6             
-1363.6362               1.034805E-5              
-1262.6265               1.2553692E-5             
-1161.6162               1.6415865E-5             
-1060.606                2.1020638E-5             
-959.59595               2.6459122E-5             
-858.58594               3.1897605E-5             
-757.5757                4.4218945E-5             
-656.5659                5.4015298E-5             
-555.55566               6.822774E-5              
-454.5454                7.695192E-5              
-353.53564               8.348014E-5              
-252.52539               9.58404E-5               
-151.51514               7.5894895E-5             
-50.504883               3.8925475E-5             
50.504883                -3.316268E-5             
151.51514                -6.449736E-5             
252.52539                -9.583204E-5             
353.53564                -8.0973674E-5            
454.5454                 -7.597273E-5             
555.55566                -6.4636006E-5            
656.5654                 -5.6215482E-5            
757.5757                 -4.4040895E-5            
858.58594                -3.432828E-5             
959.5962                 -2.6266574E-5            
1060.6064                -2.1157462E-5            
1161.6162                -1.6048374E-5            
1262.626                 -1.3045995E-5            
1363.6362                -1.0294163E-5            
1464.6465                -8.065739E-6             
1565.6567                -6.7188193E-6            
1666.667                 -5.561583E-6             
1767.6763                -4.4093717E-6            
1868.6865                -3.7293034E-6            
1969.6968                -3.1471077E-6            
2070.707                 -2.630942E-6             
2171.7173                -2.2367842E-6            
2272.7275                -1.9212898E-6            
2373.7373                -1.4354487E-6            
2474.747                 -1.3071899E-6            
2575.7573                -1.1789306E-6            
2676.7676                -1.0506712E-6            
2777.7778                -9.193886E-7             
2878.788                 -8.1166365E-7            
2979.7979                -7.128767E-7             
3080.808                 -6.219632E-7             
3181.8184                -5.3802705E-7            
3282.8281                -4.603069E-7             
3383.8389                -3.8815E-7               
3484.8486                -3.2099658E-7            
3585.8584                -3.3201553E-7            
3686.8682                -3.0838802E-7            
3787.879                 -2.8578185E-7            
3888.8887                -2.6415373E-7            
3989.8994                -2.4346198E-7            
4090.9092                -2.2366804E-7            
4191.919                 -2.0473482E-7            
4292.9287                -1.8662745E-7            
4393.9395                -1.6931271E-7            
4494.949                 -1.5275964E-7            
4595.96                  -1.3693821E-7            
4696.9697                -1.1625776E-7            
4797.9795                -1.04416536E-7           
4898.99                  -9.257519E-8             
5000.0                   -8.073396E-8             
