x                      y                        
-5000.0                  -0.0015716263            
-4898.9897               -0.001645952             
-4797.98                 -0.0017245762            
-4696.9697               -0.0018076148            
-4595.9595               -0.001895188             
-4494.9497               -0.0019874214            
-4393.9395               -0.0020844482            
-4292.929                -0.002186406             
-4191.919                -0.00229344              
-4090.9092               -0.0024057026            
-3989.899                -0.0025233545            
-3888.889                -0.002646564             
-3787.879                -0.0027755084            
-3686.8687               -0.002910376             
-3585.8586               -0.0030513632            
-3484.8484               -0.0032090137            
-3383.8384               -0.0033896               
-3282.8284               -0.003585709             
-3181.818                -0.0037983635            
-3080.808                -0.0040287017            
-2979.7979               -0.0042780004            
-2878.7878               -0.0045476966            
-2777.7778               -0.0048394194            
-2676.7678               -0.005171184             
-2575.7576               -0.0055736545            
-2474.7476               -0.0060085235            
-2373.7373               -0.0064770444            
-2272.7273               -0.006988787             
-2171.7173               -0.0075688716            
-2070.707                -0.008233202             
-1969.6968               -0.008983346             
-1868.687                -0.009817479             
-1767.6768               -0.010736866             
-1666.6665               -0.011832221             
-1565.6567               -0.013043749             
-1464.6465               -0.014363134             
-1363.6362               -0.015932461             
-1262.6265               -0.017710881             
-1161.6162               -0.01970644              
-1060.606                -0.02201546              
-959.59595               -0.024447149             
-858.58594               -0.026994498             
-757.5757                -0.029783018             
-656.5659                -0.032178722             
-555.55566               -0.03404922              
-454.5454                -0.03451534              
-353.53564               -0.032208845             
-252.52539               -0.027123794             
-151.51514               -0.018037552             
-50.504883               -0.00637823              
50.504883                0.007127829              
151.51514                0.01863576               
252.52539                0.02745464               
353.53564                0.032229833              
454.5454                 0.034070533              
555.55566                0.034214836              
656.5654                 0.032283764              
757.5757                 0.029843666              
858.58594                0.027210455              
959.5962                 0.02444465               
1060.6064                0.021988614              
1161.6162                0.019759292              
1262.626                 0.017775858              
1363.6362                0.015955485              
1464.6465                0.014386905              
1565.6567                0.013048571              
1666.667                 0.011822914              
1767.6763                0.010760076              
1868.6865                0.009825802              
1969.6968                0.00898699               
2070.707                 0.008242361              
2171.7173                0.0075850463             
2272.7275                0.0069779945             
2373.7373                0.006443182              
2474.747                 0.006017044              
2575.7573                0.005613667              
2676.7676                0.0052330513             
2777.7778                0.0048783193             
2878.788                 0.0045571807             
2979.7979                0.004266532              
3080.808                 0.004004193              
3181.8184                0.0037682338             
3282.8281                0.0035569353             
3383.8389                0.003368753              
3484.8486                0.0032023035             
3585.8584                0.0030562216             
3686.8682                0.002918757              
3787.879                 0.002786181              
3888.8887                0.00265838               
3989.8994                0.0025352396             
4090.9092                0.002416655              
4191.919                 0.0023025216             
4292.9287                0.00219274               
4393.9395                0.0020872138             
4494.949                 0.0019858521             
4595.96                  0.0018885641             
4696.9697                0.0017983107             
4797.9795                0.0017152055             
4898.99                  0.0016392038             
5000.0                   0.001570307              
