x                      y         
-5000.0                  5.8678932E-8             
-4898.9897               7.4901116E-8             
-4797.98                 9.149855E-8              
-4696.9697               1.0848781E-7             
-4595.9595               1.2588629E-7             
-4494.9497               1.4371247E-7             
-4393.9395               1.6198635E-7             
-4292.929                1.80729E-7               
-4191.919                1.9996303E-7             
-4090.9092               2.1971248E-7             
-3989.899                2.4000346E-7             
-3888.889                2.6086363E-7             
-3787.879                2.8232287E-7             
-3686.8687               3.0441342E-7             
-3585.8586               3.2716974E-7             
-3484.8484               3.5214293E-7             
-3383.8384               4.131754E-7              
-3282.8284               4.7897544E-7             
-3181.818                5.500966E-7              
-3080.808                6.271843E-7              
-2979.7979               7.109976E-7              
-2878.7878               8.0243416E-7             
-2777.7778               9.0256646E-7             
-2676.7678               1.0195065E-6             
-2575.7576               1.1390604E-6             
-2474.7476               1.3381738E-6             
-2373.7373               1.5815467E-6             
-2272.7273               1.8630549E-6             
-2171.7173               2.1445633E-6             
-2070.707                2.5752217E-6             
-1969.6968               3.1660138E-6             
-1868.687                3.7568032E-6             
-1767.6768               4.3421915E-6             
-1666.6665               5.5418277E-6             
-1565.6567               6.7963792E-6             
-1464.6465               8.050937E-6              
-1363.6362               1.0348274E-5             
-1262.6265               1.26163495E-5            
-1161.6162               1.7467277E-5             
-1060.606                2.0841988E-5             
-959.59595               2.6875572E-5             
-858.58594               3.2909156E-5             
-757.5757                4.423094E-5              
-656.5659                5.203829E-5              
-555.55566               6.5860135E-5             
-454.5454                7.805106E-5              
-353.53564               8.435253E-5              
-252.52539               7.738657E-5              
-151.51514               4.426808E-5              
-50.504883               1.2337057E-5             
50.504883                -2.5527937E-5            
151.51514                -5.5139273E-5            
252.52539                -8.475061E-5             
353.53564                -8.1759106E-5            
454.5454                 -7.6735305E-5            
555.55566                -6.63333E-5              
656.5654                 -5.3787375E-5            
757.5757                 -4.354465E-5             
858.58594                -3.5781242E-5            
959.5962                 -2.4931092E-5            
1060.6064                -2.0647456E-5            
1161.6162                -1.6363841E-5            
1262.626                 -1.3691443E-5            
1363.6362                -1.03009115E-5           
1464.6465                -8.219307E-6             
1565.6567                -6.8963523E-6            
1666.667                 -5.4870366E-6            
1767.6763                -4.3951704E-6            
1868.6865                -3.7785624E-6            
1969.6968                -3.0852475E-6            
2070.707                 -2.6309458E-6            
2171.7173                -2.2345325E-6            
2272.7275                -1.7623547E-6            
2373.7373                -1.4909066E-6            
2474.747                 -1.3458862E-6            
2575.7573                -1.200865E-6             
2676.7676                -1.0558438E-6            
2777.7778                -8.7193314E-7            
2878.788                 -7.8301946E-7            
2979.7979                -6.9955274E-7            
3080.808                 -6.209236E-7             
3181.8184                -5.4661683E-7            
3282.8281                -4.761926E-7             
3383.8389                -4.092714E-7             
3484.8486                -3.4552687E-7            
3585.8584                -3.5564406E-7            
3686.8682                -3.274004E-7             
3787.879                 -2.9937704E-7            
3888.8887                -2.715695E-7             
3989.8994                -2.4397232E-7            
4090.9092                -2.1658137E-7            
4191.919                 -1.8939178E-7            
4292.9287                -1.6239923E-7            
4393.9395                -1.3559921E-7            
4494.949                 -1.0898818E-7            
4595.96                  -8.25617E-8              
4696.9697                -1.3672427E-7            
4797.9795                -1.2299525E-7            
4898.99                  -1.0926608E-7            
5000.0                   -9.5537054E-8            
