x                      y                         
-5000.0                  7.525227E-4              
-4898.9897               7.701132E-4              
-4797.98                 8.0072554E-4             
-4696.9697               8.4436E-4                
-4595.9595               9.010164E-4              
-4494.9497               9.706945E-4              
-4393.9395               0.0010533949             
-4292.929                0.0011491174             
-4191.919                0.0012578617             
-4090.9092               0.0013796275             
-3989.899                0.0015144158             
-3888.889                0.0016622258             
-3787.879                0.0018230578             
-3686.8687               0.001996912              
-3585.8586               0.002183788              
-3484.8484               0.0023836861             
-3383.8384               0.002596606              
-3282.8284               0.0028225477             
-3181.818                0.0030615118             
-3080.808                0.0033134974             
-2979.7979               0.0036093309             
-2878.7878               0.00397954               
-2777.7778               0.004408925              
-2676.7678               0.004897486              
-2575.7576               0.0054452247             
-2474.7476               0.0060433703             
-2373.7373               0.006729107              
-2272.7273               0.0075616855             
-2171.7173               0.008541108              
-2070.707                0.009667377              
-1969.6968               0.01094049               
-1868.687                0.012394031              
-1767.6768               0.014189239              
-1666.6665               0.01627786               
-1565.6567               0.018674627              
-1464.6465               0.021500498              
-1363.6362               0.025031837              
-1262.6265               0.029295122              
-1161.6162               0.034207653              
-1060.606                0.039761897              
-959.59595               0.04655683               
-858.58594               0.05465598               
-757.5757                0.063996196              
-656.5659                0.074346036              
-555.55566               0.086422585              
-454.5454                0.09853652               
-353.53564               0.11018719               
-252.52539               0.12029381               
-151.51514               0.12780403               
-50.504883               0.13331327               
50.504883                0.13363299               
151.51514                0.12792179               
252.52539                0.11945049               
353.53564                0.10979649               
454.5454                 0.09842277               
555.55566                0.08580071               
656.5654                 0.07434432               
757.5757                 0.06408672               
858.58594                0.054721612              
959.5962                 0.046639375              
1060.6064                0.039812155              
1161.6162                0.033888552              
1262.626                 0.029096004              
1363.6362                0.025134778              
1464.6465                0.02163539               
1565.6567                0.018604094              
1666.667                 0.016103586              
1767.6763                0.014141783              
1868.6865                0.012402646              
1969.6968                0.010946611              
2070.707                 0.0096682245             
2171.7173                0.0085395975             
2272.7275                0.0075607286             
2373.7373                0.0067316224             
2474.747                 0.0060522733             
2575.7573                0.005450309              
2676.7676                0.0048992694             
2777.7778                0.004412593              
2878.788                 0.003990279              
2979.7979                0.0036232346             
3080.808                 0.0032970605             
3181.8184                0.0030441522             
3282.8281                0.0028044677             
3383.8389                0.0025780036             
3484.8486                0.0023647647             
3585.8584                0.0021647483             
3686.8682                0.0019779545             
3787.879                 0.0018043817             
3888.8887                0.0016440334             
3989.8994                0.0014969064             
4090.9092                0.0013630034             
4191.919                 0.0012423232             
4292.9287                0.0011348656             
4393.9395                0.0010406298             
4494.949                 9.596176E-4              
4595.96                  8.9182745E-4             
4696.9697                8.3726074E-4             
4797.9795                7.959166E-4              
4898.99                  7.6779496E-4             
5000.0                   7.5289625E-4             
