x_km,y_km,u_mm,v_mm,w_mm,dwdx_M,dwdy_M,u3_mm,v3_mm,w3_mm
0.0000,0.0000,0.0000,0.0000,134.7482,-0.0000,-0.0000,0.0000,0.0000,138.3455
0.1000,0.1000,13.0480,13.0480,130.4804,-41.5538,-41.5538,12.8788,12.8788,133.9487
0.2000,0.2000,23.7867,23.7867,118.9333,-71.2762,-71.2762,23.5054,23.5054,122.0516
0.3000,0.3000,30.9292,30.9292,103.0973,-84.3572,-84.3572,30.6126,30.6126,105.7359
0.4000,0.4000,34.4517,34.4517,86.1293,-83.4540,-83.4540,34.1583,34.1583,88.2585
0.5000,0.5000,35.1292,35.1292,70.2584,-74.3774,-74.3774,34.8871,34.8871,71.9209
0.6000,0.6000,33.9454,33.9454,56.5757,-62.2686,-62.2686,33.7596,33.7596,57.8489
0.7000,0.7000,31.7378,31.7378,45.3397,-50.2698,-50.2698,31.6015,31.6015,46.3067
0.8000,0.8000,29.0909,29.0909,36.3636,-39.7996,-39.7996,28.9937,28.9937,37.0978
0.9000,0.9000,26.3624,26.3624,29.2915,-31.2387,-31.2387,26.2945,26.2945,29.8520
1.0000,1.0000,23.7479,23.7479,23.7479,-24.4760,-24.4760,23.7011,23.7011,24.1794
1.1000,1.1000,21.3403,21.3403,19.4003,-19.2259,-19.2259,21.3086,21.3086,19.7361
1.2000,1.2000,19.1728,19.1728,15.9774,-15.1795,-15.1795,19.1518,19.1518,16.2418
1.3000,1.3000,17.2464,17.2464,13.2665,-12.0644,-12.0644,17.2330,17.2330,13.4772
1.4000,1.4000,15.5461,15.5461,11.1044,-9.6598,-9.6598,15.5380,15.5380,11.2741
1.5000,1.5000,14.0501,14.0501,9.3667,-7.7946,-7.7946,14.0457,14.0457,9.5051
1.6000,1.6000,12.7349,12.7349,7.9593,-6.3387,-6.3387,12.7331,12.7331,8.0733
1.7000,1.7000,11.5779,11.5779,6.8105,-5.1943,-5.1943,11.5780,11.5780,6.9053
1.8000,1.8000,10.5583,10.5583,5.8657,-4.2882,-4.2882,10.5597,10.5597,5.9453
1.9000,1.9000,9.6578,9.6578,5.0831,-3.5654,-3.5654,9.6601,9.6601,5.1504
2.0000,2.0000,8.8603,8.8603,4.4301,-2.9846,-2.9846,8.8632,8.8632,4.4876
2.1000,2.1000,8.1519,8.1519,3.8819,-2.5145,-2.5145,8.1552,8.1552,3.9313
2.2000,2.2000,7.5208,7.5208,3.4186,-2.1314,-2.1314,7.5244,7.5244,3.4613
2.3000,2.3000,6.9569,6.9569,3.0247,-1.8171,-1.8171,6.9605,6.9605,3.0620
2.4000,2.4000,6.4514,6.4514,2.6881,-1.5576,-1.5576,6.4551,6.4551,2.7207
2.5000,2.5000,5.9969,5.9969,2.3988,-1.3421,-1.3421,6.0006,6.0006,2.4275
2.6000,2.6000,5.5871,5.5871,2.1489,-1.1619,-1.1619,5.5908,5.5908,2.1743
2.7000,2.7000,5.2166,5.2166,1.9321,-1.0106,-1.0106,5.2202,5.2202,1.9547
2.8000,2.8000,4.8806,4.8806,1.7431,-0.8828,-0.8828,4.8842,4.8842,1.7633
2.9000,2.9000,4.5752,4.5752,1.5776,-0.7744,-0.7744,4.5786,4.5786,1.5958
3.0000,3.0000,4.2968,4.2968,1.4323,-0.6819,-0.6819,4.3002,4.3002,1.4486
3.1000,3.1000,4.0424,4.0424,1.3040,-0.6026,-0.6026,4.0457,4.0457,1.3187
3.2000,3.2000,3.8095,3.8095,1.1905,-0.5344,-0.5344,3.8127,3.8127,1.2038
3.3000,3.3000,3.5958,3.5958,1.0896,-0.4755,-0.4755,3.5988,3.5988,1.1018
3.4000,3.4000,3.3991,3.3991,0.9997,-0.4245,-0.4245,3.4021,3.4021,1.0108
3.5000,3.5000,3.2179,3.2179,0.9194,-0.3800,-0.3800,3.2207,3.2207,0.9295
3.6000,3.6000,3.0505,3.0505,0.8474,-0.3412,-0.3412,3.0533,3.0533,0.8566
3.7000,3.7000,2.8957,2.8957,0.7826,-0.3071,-0.3071,2.8983,2.8983,0.7911
3.8000,3.8000,2.7521,2.7521,0.7242,-0.2772,-0.2772,2.7547,2.7547,0.7321
3.9000,3.9000,2.6188,2.6188,0.6715,-0.2508,-0.2508,2.6213,2.6213,0.6787
4.0000,4.0000,2.4949,2.4949,0.6237,-0.2275,-0.2275,2.4972,2.4972,0.6304
4.1000,4.1000,2.3794,2.3794,0.5803,-0.2068,-0.2068,2.3816,2.3816,0.5866
4.2000,4.2000,2.2716,2.2716,0.5409,-0.1883,-0.1883,2.2738,2.2738,0.5466
4.3000,4.3000,2.1709,2.1709,0.5049,-0.1719,-0.1719,2.1730,2.1730,0.5102
4.4000,4.4000,2.0767,2.0767,0.4720,-0.1572,-0.1572,2.0787,2.0787,0.4770
4.5000,4.5000,1.9884,1.9884,0.4419,-0.1441,-0.1441,1.9904,1.9904,0.4465
4.6000,4.6000,1.9056,1.9056,0.4143,-0.1323,-0.1323,1.9075,1.9075,0.4186
4.7000,4.7000,1.8278,1.8278,0.3889,-0.1216,-0.1216,1.8296,1.8296,0.3930
4.8000,4.8000,1.7546,1.7546,0.3655,-0.1120,-0.1120,1.7564,1.7564,0.3694
4.9000,4.9000,1.6857,1.6857,0.3440,-0.1034,-0.1034,1.6874,1.6874,0.3476
